t,bear,bull
t1,0.3118,0.6882
t2,0.5972,0.4028
t3,0.4676,0.5324
t4,0.5188,0.4812
t5,0.471,0.529
t6,0.3466,0.6534
t7,0.5872,0.4128
t8,0.5058,0.4942
t9,0.718,0.282
t10,0.4838,0.5162
t11,0.455,0.545
t12,0.2594,0.7406
t13,0.2316,0.7684
t14,0.2054,0.7946
t15,0.1528,0.8472
t16,0.1742,0.8258
t17,0.539,0.461
t18,0.4428,0.5572
t19,0.3138,0.6862
t20,0.251,0.749
t21,0.7012,0.2988
t22,0.474,0.526
t23,0.3086,0.6914
t24,0.2976,0.7024
t25,0.2362,0.7638
t26,0.405,0.595
t27,0.249,0.751
t28,0.184,0.816
t29,0.2464,0.7536
t30,0.168,0.832
t31,0.3258,0.6742
t32,0.2288,0.7712
t33,0.2202,0.7798
t34,0.1876,0.8124
t35,0.152,0.848
t36,0.1576,0.8424
t37,0.3082,0.6918
t38,0.196,0.804
t39,0.263,0.737
t40,0.212,0.788
t41,0.1774,0.8226
t42,0.1852,0.8148
t43,0.1484,0.8516
t44,0.1408,0.8592
t45,0.133,0.867
t46,0.1346,0.8654
t47,0.1718,0.8282
t48,0.1614,0.8386
t49,0.152,0.848
t50,0.2024,0.7976
t51,0.152,0.848
t52,0.1506,0.8494
t53,0.18,0.82
t54,0.2344,0.7656
t55,0.1618,0.8382
t56,0.4726,0.5274
t57,0.2624,0.7376
t58,0.2056,0.7944
t59,0.1598,0.8402
t60,0.1576,0.8424
t61,0.1364,0.8636
t62,0.1214,0.8786
t63,0.1402,0.8598
t64,0.1312,0.8688
t65,0.1224,0.8776
t66,0.1224,0.8776
t67,0.1626,0.8374
t68,0.1476,0.8524
t69,0.1242,0.8758
t70,0.1168,0.8832
t71,0.1216,0.8784
t72,0.5146,0.4854
t73,0.3082,0.6918
t74,0.2238,0.7762
t75,0.1578,0.8422
t76,0.1328,0.8672
t77,0.6294,0.3706
t78,0.3468,0.6532
t79,0.3134,0.6866
t80,0.2528,0.7472
t81,0.2104,0.7896
t82,0.2022,0.7978
t83,0.1686,0.8314
t84,0.1446,0.8554
t85,0.162,0.838
t86,0.2492,0.7508
t87,0.1926,0.8074
t88,0.1496,0.8504
t89,0.1502,0.8498
t90,0.1838,0.8162
t91,0.1628,0.8372
t92,0.1386,0.8614
t93,0.1278,0.8722
t94,0.1314,0.8686
t95,0.1294,0.8706
t96,0.1552,0.8448
t97,0.1266,0.8734
t98,0.516,0.484
t99,0.2958,0.7042
t100,0.209,0.791
t101,0.1628,0.8372
t102,0.17,0.83
t103,0.1674,0.8326
t104,0.1512,0.8488
t105,0.1606,0.8394
t106,0.1558,0.8442
t107,0.1862,0.8138
t108,0.202,0.798
t109,0.159,0.841
t110,0.1458,0.8542
t111,0.1674,0.8326
t112,0.8298,0.1702
t113,0.1646,0.8354
t114,0.1582,0.8418
t115,0.1834,0.8166
t116,0.479,0.521
t117,0.2536,0.7464
t118,0.8038,0.1962
t119,0.1632,0.8368
t120,0.171,0.829
t121,0.2298,0.7702
t122,0.1604,0.8396
t123,0.1558,0.8442
t124,0.206,0.794
t125,0.1752,0.8248
t126,0.136,0.864
t127,0.148,0.852
t128,0.1468,0.8532
t129,0.1524,0.8476
t130,0.18,0.82
t131,0.146,0.854
t132,0.1398,0.8602
t133,0.1296,0.8704
t134,0.1278,0.8722
t135,0.8666,0.1334
t136,0.1316,0.8684
t137,0.1352,0.8648
t138,0.1924,0.8076
t139,0.144,0.856
t140,0.14,0.86
t141,0.1232,0.8768
t142,0.132,0.868
t143,0.1348,0.8652
t144,0.1346,0.8654
t145,0.8856,0.1144
t146,0.1434,0.8566
t147,0.1496,0.8504
t148,0.1712,0.8288
t149,0.1506,0.8494
t150,0.1328,0.8672
t151,0.1312,0.8688
t152,0.1264,0.8736
t153,0.1406,0.8594
t154,0.171,0.829
t155,0.1392,0.8608
t156,0.118,0.882
t157,0.1298,0.8702
t158,0.1212,0.8788
t159,0.1216,0.8784
t160,0.1328,0.8672
t161,0.1322,0.8678
t162,0.1238,0.8762
t163,0.1238,0.8762
