t,bear,bull
t1,0.0982000000000008,0.901799999999933
t2,0.914999999999932,0.0850000000000004
t3,0.896599999999934,0.103400000000001
t4,0.0924000000000006,0.907599999999933
t5,0.676199999999958,0.323799999999997
t6,0.350999999999994,0.648999999999961
t7,0.352599999999994,0.647399999999961
t8,0.230800000000005,0.769199999999948
t9,0.328999999999996,0.670999999999959
t10,0.168400000000003,0.831599999999941
t11,0.153400000000002,0.846599999999939
t12,0.886199999999935,0.113800000000001
t13,0.0932000000000006,0.906799999999933
t14,0.921599999999931,0.0784000000000002
t15,0.0958000000000007,0.904199999999933
t16,0.0860000000000004,0.913999999999932
t17,0.0808000000000003,0.919199999999931
t18,0.924799999999931,0.0752000000000001
t19,0.0844000000000004,0.915599999999932
t20,0.103200000000001,0.896799999999934
t21,0.0846000000000004,0.915399999999932
t22,0.926399999999931,0.0736000000000001
t23,0.0760000000000001,0.923999999999931
t24,0.0716,0.92839999999993
t25,0.110200000000001,0.889799999999935
t26,0.102200000000001,0.897799999999934
t27,0.0858000000000004,0.914199999999932
t28,0.0712,0.92879999999993
t29,0.0808000000000003,0.919199999999931
t30,0.073,0.926999999999931
t31,0.0683999999999999,0.93159999999993
t32,0.93319999999993,0.0667999999999999
t33,0.0575999999999998,0.942399999999929
t34,0.93479999999993,0.0651999999999998
t35,0.0659999999999998,0.93399999999993
t36,0.0661999999999998,0.93379999999993
t37,0.0956000000000007,0.904399999999933
t38,0.0728,0.927199999999931
t39,0.0549999999999998,0.944999999999929
t40,0.910599999999932,0.0894000000000005
t41,0.0687999999999999,0.93119999999993
t42,0.0637999999999998,0.93619999999993
t43,0.0609999999999997,0.938999999999929
t44,0.0553999999999998,0.944599999999929
t45,0.93639999999993,0.0635999999999998
t46,0.940999999999929,0.0589999999999998
t47,0.0555999999999998,0.944399999999929
t48,0.100800000000001,0.899199999999934
t49,0.923999999999931,0.0760000000000001
t50,0.166400000000003,0.833599999999941
t51,0.164800000000003,0.835199999999941
t52,0.108800000000001,0.891199999999934
t53,0.0659999999999998,0.93399999999993
t54,0.917599999999932,0.0824000000000003
t55,0.944199999999929,0.0557999999999998
t56,0.789999999999946,0.210000000000004
t57,0.543199999999973,0.456799999999982
t58,0.75159999999995,0.248400000000005
t59,0.223800000000004,0.776199999999947
t60,0.195600000000004,0.804399999999944
t61,0.108200000000001,0.891799999999934
t62,0.915799999999932,0.0842000000000004
t63,0.818999999999942,0.181000000000003
t64,0.731599999999952,0.268400000000003
