t,i,peso,Lambda,Costo_Mult
t1,SPX,0.02862549096060648,0.3,0.01
t2,SPX,0.0,0.3,0.01
t3,SPX,0.0,0.3,0.01
t4,SPX,0.0,0.3,0.01
t5,SPX,0.0,0.3,0.01
t6,SPX,0.0,0.3,0.01
t7,SPX,0.0,0.3,0.01
t8,SPX,0.0,0.3,0.01
t9,SPX,0.0,0.3,0.01
t10,SPX,0.0,0.3,0.01
t11,SPX,0.0,0.3,0.01
t12,SPX,0.2631419762226026,0.3,0.01
t13,SPX,0.2847138420405902,0.3,0.01
t14,SPX,0.40885372723143326,0.3,0.01
t15,SPX,0.4784148767795872,0.3,0.01
t16,SPX,0.4478221507174334,0.3,0.01
t17,SPX,0.0,0.3,0.01
t18,SPX,0.0,0.3,0.01
t19,SPX,0.020455235803770566,0.3,0.01
t20,SPX,0.19499307182810705,0.3,0.01
t21,SPX,0.0,0.3,0.01
t22,SPX,0.0,0.3,0.01
t23,SPX,0.036732029633983705,0.3,0.01
t24,SPX,0.07249281813727068,0.3,0.01
t25,SPX,0.24234388123828032,0.3,0.01
t26,SPX,0.0,0.3,0.01
t27,SPX,0.2303253318827083,0.3,0.01
t28,SPX,0.3916247381510731,0.3,0.01
t29,SPX,0.2687783240851494,0.3,0.01
t30,SPX,0.43569146105145273,0.3,0.01
t31,SPX,0.013580855955116489,0.3,0.01
t32,SPX,0.33224424960748744,0.3,0.01
t33,SPX,0.33224424960748744,0.3,0.01
t34,SPX,0.45220397852400834,0.3,0.01
t35,SPX,0.4829427896321314,0.3,0.01
t36,SPX,0.4829427896321314,0.3,0.01
t37,SPX,0.0742719477490267,0.3,0.01
t38,SPX,0.35784061883201645,0.3,0.01
t39,SPX,0.21415660480186846,0.3,0.01
t40,SPX,0.3922020925866371,0.3,0.01
t41,SPX,0.4262502323587777,0.3,0.01
t42,SPX,0.4262502323587776,0.3,0.01
t43,SPX,0.5116845148726038,0.3,0.01
t44,SPX,0.529877693740051,0.3,0.01
t45,SPX,0.5601209653372365,0.3,0.01
t46,SPX,0.5601209653372365,0.3,0.01
t47,SPX,0.4776915083607743,0.3,0.01
t48,SPX,0.48325055088482155,0.3,0.01
t49,SPX,0.5105345870849121,0.3,0.01
t50,SPX,0.408130891549659,0.3,0.01
t51,SPX,0.49981131128763595,0.3,0.01
t52,SPX,0.49981131128763595,0.3,0.01
t53,SPX,0.4297214122092947,0.3,0.01
t54,SPX,0.36050529008912846,0.3,0.01
t55,SPX,0.4878919654166099,0.3,0.01
t56,SPX,0.0,0.3,0.01
t57,SPX,0.2354432746826063,0.3,0.01
t58,SPX,0.40802105404047406,0.3,0.01
t59,SPX,0.5000750762643255,0.3,0.01
t60,SPX,0.5030400450873856,0.3,0.01
t61,SPX,0.5465564501132798,0.3,0.01
t62,SPX,0.58074778367376,0.3,0.01
t63,SPX,0.5807477836737599,0.3,0.01
t64,SPX,0.5845815893904766,0.3,0.01
t65,SPX,0.5850329673805545,0.3,0.01
t66,SPX,0.5850329673805545,0.3,0.01
t67,SPX,0.5147037032044757,0.3,0.01
t68,SPX,0.5285386887506337,0.3,0.01
t69,SPX,0.5941603117070378,0.3,0.01
t70,SPX,0.5983864652327613,0.3,0.01
t71,SPX,0.5983864652327613,0.3,0.01
t72,SPX,0.0,0.3,0.01
t73,SPX,0.09084215853173869,0.3,0.01
t74,SPX,0.3610969354401178,0.3,0.01
t75,SPX,0.5258485115411528,0.3,0.01
t76,SPX,0.5539576257204232,0.3,0.01
t77,SPX,0.0,0.3,0.01
t78,SPX,0.0,0.3,0.01
t79,SPX,0.03576329686885841,0.3,0.01
t80,SPX,0.27197238925170825,0.3,0.01
t81,SPX,0.3902356280787488,0.3,0.01
t82,SPX,0.3992401740149473,0.3,0.01
t83,SPX,0.5000203180552615,0.3,0.01
t84,SPX,0.5307370921825556,0.3,0.01
t85,SPX,0.5086437702615509,0.3,0.01
t86,SPX,0.2885823824422032,0.3,0.01
t87,SPX,0.4416461373289194,0.3,0.01
t88,SPX,0.5293589910223663,0.3,0.01
t89,SPX,0.5293589910223663,0.3,0.01
t90,SPX,0.48621220033116547,0.3,0.01
t91,SPX,0.5103229568916914,0.3,0.01
t92,SPX,0.5628697756227371,0.3,0.01
t93,SPX,0.5784520365664279,0.3,0.01
t94,SPX,0.5784520365664279,0.3,0.01
t95,SPX,0.5784520365664279,0.3,0.01
t96,SPX,0.5514060971699077,0.3,0.01
t97,SPX,0.5645427252389741,0.3,0.01
t98,SPX,0.0,0.3,0.01
t99,SPX,0.15236019557253627,0.3,0.01
t100,SPX,0.3970347980821481,0.3,0.01
t101,SPX,0.5017357115509115,0.3,0.01
t102,SPX,0.5017357115509115,0.3,0.01
t103,SPX,0.5017357115509115,0.3,0.01
t104,SPX,0.5203493418311452,0.3,0.01
t105,SPX,0.5203493418311452,0.3,0.01
t106,SPX,0.5203493418311452,0.3,0.01
t107,SPX,0.43679568269725,0.3,0.01
t108,SPX,0.4112006487159306,0.3,0.01
t109,SPX,0.49781608194175453,0.3,0.01
t110,SPX,0.5264983039188431,0.3,0.01
t111,SPX,0.47059941811568246,0.3,0.01
t112,SPX,0.0,0.3,0.01
t113,SPX,0.4911074729378417,0.3,0.01
t114,SPX,0.4987878097927524,0.3,0.01
t115,SPX,0.4412927606744092,0.3,0.01
t116,SPX,0.0,0.3,0.01
t117,SPX,0.22345520827336154,0.3,0.01
t118,SPX,0.0,0.3,0.01
t119,SPX,0.48476302772881114,0.3,0.01
t120,SPX,0.48476302772881114,0.3,0.01
t121,SPX,0.32671885096720643,0.3,0.01
t122,SPX,0.4783348676202571,0.3,0.01
t123,SPX,0.4783348676202571,0.3,0.01
t124,SPX,0.4331275515305667,0.3,0.01
t125,SPX,0.4462237155167457,0.3,0.01
t126,SPX,0.519801848790746,0.3,0.01
t127,SPX,0.517531176431383,0.3,0.01
t128,SPX,0.517531176431383,0.3,0.01
t129,SPX,0.5082399176347427,0.3,0.01
t130,SPX,0.4641160065695108,0.3,0.01
t131,SPX,0.5251480462113496,0.3,0.01
t132,SPX,0.5388823165229852,0.3,0.01
t133,SPX,0.5516189719344581,0.3,0.01
t134,SPX,0.5516189719344581,0.3,0.01
t135,SPX,0.0,0.3,0.01
t136,SPX,0.5563059650434091,0.3,0.01
t137,SPX,0.5504348425958855,0.3,0.01
t138,SPX,0.4371964429370716,0.3,0.01
t139,SPX,0.5277909160331555,0.3,0.01
t140,SPX,0.5379219833375934,0.3,0.01
t141,SPX,0.5574057629851635,0.3,0.01
t142,SPX,0.5574057629851635,0.3,0.01
t143,SPX,0.5574057629851635,0.3,0.01
t144,SPX,0.5574057629851635,0.3,0.01
t145,SPX,0.0,0.3,0.01
t146,SPX,0.5086012555250427,0.3,0.01
t147,SPX,0.5086012555250427,0.3,0.01
t148,SPX,0.4999974397885271,0.3,0.01
t149,SPX,0.5209068017135058,0.3,0.01
t150,SPX,0.5758044456799742,0.3,0.01
t151,SPX,0.5758044456799742,0.3,0.01
t152,SPX,0.5758044456799742,0.3,0.01
t153,SPX,0.5425335746148082,0.3,0.01
t154,SPX,0.48636586072537963,0.3,0.01
t155,SPX,0.5632349371746331,0.3,0.01
t156,SPX,0.5732027852923908,0.3,0.01
t157,SPX,0.5732027852923908,0.3,0.01
t158,SPX,0.5789732422042213,0.3,0.01
t159,SPX,0.5789732422042213,0.3,0.01
t160,SPX,0.5740986371567735,0.3,0.01
t161,SPX,0.5704764840972494,0.3,0.01
t162,SPX,0.5704764840972493,0.3,0.01
t163,SPX,0.5704764840972494,0.3,0.01
t1,CMC200,0.9713745090393935,0.3,0.01
t2,CMC200,1.0,0.3,0.01
t3,CMC200,1.0,0.3,0.01
t4,CMC200,1.0,0.3,0.01
t5,CMC200,1.0,0.3,0.01
t6,CMC200,1.0,0.3,0.01
t7,CMC200,1.0,0.3,0.01
t8,CMC200,1.0,0.3,0.01
t9,CMC200,0.9999999999999998,0.3,0.01
t10,CMC200,0.9999999999999998,0.3,0.01
t11,CMC200,1.0,0.3,0.01
t12,CMC200,0.7368580237773974,0.3,0.01
t13,CMC200,0.7152861579594098,0.3,0.01
t14,CMC200,0.5911462727685665,0.3,0.01
t15,CMC200,0.5215851232204126,0.3,0.01
t16,CMC200,0.5521778492825664,0.3,0.01
t17,CMC200,1.0,0.3,0.01
t18,CMC200,1.0,0.3,0.01
t19,CMC200,0.9795447641962294,0.3,0.01
t20,CMC200,0.805006928171893,0.3,0.01
t21,CMC200,1.0,0.3,0.01
t22,CMC200,1.0,0.3,0.01
t23,CMC200,0.9632679703660163,0.3,0.01
t24,CMC200,0.9275071818627294,0.3,0.01
t25,CMC200,0.7576561187617196,0.3,0.01
t26,CMC200,1.0,0.3,0.01
t27,CMC200,0.7696746681172918,0.3,0.01
t28,CMC200,0.6083752618489269,0.3,0.01
t29,CMC200,0.7312216759148504,0.3,0.01
t30,CMC200,0.5643085389485472,0.3,0.01
t31,CMC200,0.9864191440448835,0.3,0.01
t32,CMC200,0.6677557503925126,0.3,0.01
t33,CMC200,0.6677557503925126,0.3,0.01
t34,CMC200,0.5477960214759916,0.3,0.01
t35,CMC200,0.5170572103678686,0.3,0.01
t36,CMC200,0.5170572103678686,0.3,0.01
t37,CMC200,0.9257280522509732,0.3,0.01
t38,CMC200,0.6421593811679835,0.3,0.01
t39,CMC200,0.7858433951981316,0.3,0.01
t40,CMC200,0.6077979074133629,0.3,0.01
t41,CMC200,0.5737497676412223,0.3,0.01
t42,CMC200,0.5737497676412223,0.3,0.01
t43,CMC200,0.488315485127396,0.3,0.01
t44,CMC200,0.47012230625994883,0.3,0.01
t45,CMC200,0.4398790346627636,0.3,0.01
t46,CMC200,0.4398790346627636,0.3,0.01
t47,CMC200,0.5223084916392259,0.3,0.01
t48,CMC200,0.5167494491151784,0.3,0.01
t49,CMC200,0.489465412915088,0.3,0.01
t50,CMC200,0.5918691084503411,0.3,0.01
t51,CMC200,0.500188688712364,0.3,0.01
t52,CMC200,0.500188688712364,0.3,0.01
t53,CMC200,0.5702785877907053,0.3,0.01
t54,CMC200,0.6394947099108715,0.3,0.01
t55,CMC200,0.5121080345833902,0.3,0.01
t56,CMC200,1.0,0.3,0.01
t57,CMC200,0.7645567253173937,0.3,0.01
t58,CMC200,0.591978945959526,0.3,0.01
t59,CMC200,0.49992492373567454,0.3,0.01
t60,CMC200,0.49695995491261435,0.3,0.01
t61,CMC200,0.45344354988672014,0.3,0.01
t62,CMC200,0.41925221632624005,0.3,0.01
t63,CMC200,0.41925221632624027,0.3,0.01
t64,CMC200,0.41541841060952367,0.3,0.01
t65,CMC200,0.4149670326194458,0.3,0.01
t66,CMC200,0.4149670326194458,0.3,0.01
t67,CMC200,0.48529629679552433,0.3,0.01
t68,CMC200,0.4714613112493663,0.3,0.01
t69,CMC200,0.40583968829296224,0.3,0.01
t70,CMC200,0.4016135347672389,0.3,0.01
t71,CMC200,0.4016135347672389,0.3,0.01
t72,CMC200,1.0,0.3,0.01
t73,CMC200,0.9091578414682613,0.3,0.01
t74,CMC200,0.6389030645598821,0.3,0.01
t75,CMC200,0.47415148845884714,0.3,0.01
t76,CMC200,0.44604237427957705,0.3,0.01
t77,CMC200,1.0,0.3,0.01
t78,CMC200,1.0,0.3,0.01
t79,CMC200,0.9642367031311416,0.3,0.01
t80,CMC200,0.7280276107482918,0.3,0.01
t81,CMC200,0.6097643719212513,0.3,0.01
t82,CMC200,0.6007598259850528,0.3,0.01
t83,CMC200,0.4999796819447385,0.3,0.01
t84,CMC200,0.4692629078174442,0.3,0.01
t85,CMC200,0.49135622973844895,0.3,0.01
t86,CMC200,0.7114176175577968,0.3,0.01
t87,CMC200,0.5583538626710804,0.3,0.01
t88,CMC200,0.4706410089776337,0.3,0.01
t89,CMC200,0.4706410089776337,0.3,0.01
t90,CMC200,0.5137877996688343,0.3,0.01
t91,CMC200,0.4896770431083085,0.3,0.01
t92,CMC200,0.4371302243772629,0.3,0.01
t93,CMC200,0.4215479634335723,0.3,0.01
t94,CMC200,0.4215479634335723,0.3,0.01
t95,CMC200,0.4215479634335723,0.3,0.01
t96,CMC200,0.44859390283009243,0.3,0.01
t97,CMC200,0.435457274761026,0.3,0.01
t98,CMC200,1.0,0.3,0.01
t99,CMC200,0.8476398044274638,0.3,0.01
t100,CMC200,0.602965201917852,0.3,0.01
t101,CMC200,0.4982642884490885,0.3,0.01
t102,CMC200,0.4982642884490884,0.3,0.01
t103,CMC200,0.4982642884490886,0.3,0.01
t104,CMC200,0.47965065816885477,0.3,0.01
t105,CMC200,0.47965065816885477,0.3,0.01
t106,CMC200,0.47965065816885477,0.3,0.01
t107,CMC200,0.5632043173027499,0.3,0.01
t108,CMC200,0.5887993512840692,0.3,0.01
t109,CMC200,0.5021839180582454,0.3,0.01
t110,CMC200,0.4735016960811567,0.3,0.01
t111,CMC200,0.5294005818843177,0.3,0.01
t112,CMC200,1.0,0.3,0.01
t113,CMC200,0.5088925270621585,0.3,0.01
t114,CMC200,0.5012121902072477,0.3,0.01
t115,CMC200,0.558707239325591,0.3,0.01
t116,CMC200,1.0,0.3,0.01
t117,CMC200,0.7765447917266385,0.3,0.01
t118,CMC200,1.0,0.3,0.01
t119,CMC200,0.5152369722711887,0.3,0.01
t120,CMC200,0.5152369722711888,0.3,0.01
t121,CMC200,0.6732811490327937,0.3,0.01
t122,CMC200,0.5216651323797429,0.3,0.01
t123,CMC200,0.5216651323797429,0.3,0.01
t124,CMC200,0.5668724484694333,0.3,0.01
t125,CMC200,0.5537762844832543,0.3,0.01
t126,CMC200,0.48019815120925385,0.3,0.01
t127,CMC200,0.48246882356861676,0.3,0.01
t128,CMC200,0.48246882356861676,0.3,0.01
t129,CMC200,0.4917600823652571,0.3,0.01
t130,CMC200,0.5358839934304892,0.3,0.01
t131,CMC200,0.47485195378865036,0.3,0.01
t132,CMC200,0.46111768347701476,0.3,0.01
t133,CMC200,0.4483810280655419,0.3,0.01
t134,CMC200,0.4483810280655419,0.3,0.01
t135,CMC200,1.0,0.3,0.01
t136,CMC200,0.44369403495659104,0.3,0.01
t137,CMC200,0.4495651574041144,0.3,0.01
t138,CMC200,0.5628035570629284,0.3,0.01
t139,CMC200,0.47220908396684436,0.3,0.01
t140,CMC200,0.46207801666240644,0.3,0.01
t141,CMC200,0.44259423701483636,0.3,0.01
t142,CMC200,0.44259423701483636,0.3,0.01
t143,CMC200,0.44259423701483636,0.3,0.01
t144,CMC200,0.44259423701483636,0.3,0.01
t145,CMC200,1.0,0.3,0.01
t146,CMC200,0.49139874447495746,0.3,0.01
t147,CMC200,0.49139874447495757,0.3,0.01
t148,CMC200,0.500002560211473,0.3,0.01
t149,CMC200,0.47909319828649444,0.3,0.01
t150,CMC200,0.42419555432002565,0.3,0.01
t151,CMC200,0.42419555432002554,0.3,0.01
t152,CMC200,0.42419555432002576,0.3,0.01
t153,CMC200,0.4574664253851917,0.3,0.01
t154,CMC200,0.5136341392746203,0.3,0.01
t155,CMC200,0.43676506282536703,0.3,0.01
t156,CMC200,0.4267972147076091,0.3,0.01
t157,CMC200,0.4267972147076091,0.3,0.01
t158,CMC200,0.421026757795779,0.3,0.01
t159,CMC200,0.421026757795779,0.3,0.01
t160,CMC200,0.4259013628432269,0.3,0.01
t161,CMC200,0.429523515902751,0.3,0.01
t162,CMC200,0.429523515902751,0.3,0.01
