t,Capital,Lambda,Costo_Mult,Modelo
t1,13397.964948485242,0.3,0.01,GAMS
t2,12113.559629648924,0.3,0.01,GAMS
t3,10416.835827204231,0.3,0.01,GAMS
t4,11989.226996913649,0.3,0.01,GAMS
t5,13385.793794130142,0.3,0.01,GAMS
t6,16347.227686468237,0.3,0.01,GAMS
t7,18795.911861288103,0.3,0.01,GAMS
t8,14667.408598072121,0.3,0.01,GAMS
t9,15661.261233455856,0.3,0.01,GAMS
t10,17954.18614723719,0.3,0.01,GAMS
t11,18582.62596788748,0.3,0.01,GAMS
t12,17786.63058270339,0.3,0.01,GAMS
t13,19025.568286806654,0.3,0.01,GAMS
t14,19472.65139486334,0.3,0.01,GAMS
t15,20842.755617110903,0.3,0.01,GAMS
t16,18750.209907770768,0.3,0.01,GAMS
t17,21363.764126878385,0.3,0.01,GAMS
t18,23428.501920686136,0.3,0.01,GAMS
t19,22333.608150619864,0.3,0.01,GAMS
t20,14957.37510813278,0.3,0.01,GAMS
t21,14452.016772036457,0.3,0.01,GAMS
t22,15832.189677656097,0.3,0.01,GAMS
t23,14704.227114601454,0.3,0.01,GAMS
t24,14128.225386735907,0.3,0.01,GAMS
t25,12765.566658522564,0.3,0.01,GAMS
t26,13481.443945373776,0.3,0.01,GAMS
t27,13755.091734986896,0.3,0.01,GAMS
t28,12920.594244762631,0.3,0.01,GAMS
t29,13361.212539623768,0.3,0.01,GAMS
t30,14733.118057071304,0.3,0.01,GAMS
t31,15989.545806057853,0.3,0.01,GAMS
t32,17392.069081332746,0.3,0.01,GAMS
t33,17808.854026256104,0.3,0.01,GAMS
t34,17945.151446869073,0.3,0.01,GAMS
t35,18538.903314058698,0.3,0.01,GAMS
t36,17051.18419081044,0.3,0.01,GAMS
t37,17816.74900164703,0.3,0.01,GAMS
t38,16611.62225431085,0.3,0.01,GAMS
t39,17892.05658047896,0.3,0.01,GAMS
t40,18999.135711459738,0.3,0.01,GAMS
t41,20206.741811339827,0.3,0.01,GAMS
t42,20355.554870953452,0.3,0.01,GAMS
t43,21013.083216135972,0.3,0.01,GAMS
t44,21211.152566987148,0.3,0.01,GAMS
t45,21555.243978311053,0.3,0.01,GAMS
t46,20726.67576854927,0.3,0.01,GAMS
t47,19904.5781017952,0.3,0.01,GAMS
t48,19797.79772676362,0.3,0.01,GAMS
t49,19213.978597539517,0.3,0.01,GAMS
t50,18594.222082453813,0.3,0.01,GAMS
t51,19555.399396018853,0.3,0.01,GAMS
t52,18666.538178558294,0.3,0.01,GAMS
t53,17286.931891085103,0.3,0.01,GAMS
t54,17252.460977526556,0.3,0.01,GAMS
t55,15058.45642501323,0.3,0.01,GAMS
t56,15148.645035212401,0.3,0.01,GAMS
t57,16274.249431782442,0.3,0.01,GAMS
t58,16444.19451070072,0.3,0.01,GAMS
t59,15843.210503419843,0.3,0.01,GAMS
t60,15653.073007713105,0.3,0.01,GAMS
t61,15520.28669474816,0.3,0.01,GAMS
t62,15143.528689340697,0.3,0.01,GAMS
t63,16219.454928184605,0.3,0.01,GAMS
t64,16849.64790562871,0.3,0.01,GAMS
t65,17304.136458688547,0.3,0.01,GAMS
t66,16613.79490352845,0.3,0.01,GAMS
t67,15875.780767551554,0.3,0.01,GAMS
t68,15551.488227293883,0.3,0.01,GAMS
t69,14996.122799776296,0.3,0.01,GAMS
t70,14604.483702451378,0.3,0.01,GAMS
t71,13106.405880597329,0.3,0.01,GAMS
t72,12667.445173839935,0.3,0.01,GAMS
t73,12297.63633451998,0.3,0.01,GAMS
t74,12439.78926031072,0.3,0.01,GAMS
t75,11973.36266882486,0.3,0.01,GAMS
t76,9653.94828440591,0.3,0.01,GAMS
t77,10171.11908989448,0.3,0.01,GAMS
t78,9219.223043750597,0.3,0.01,GAMS
t79,10247.603635379815,0.3,0.01,GAMS
t80,10003.810212354536,0.3,0.01,GAMS
t81,10748.614166757843,0.3,0.01,GAMS
t82,11432.021866077628,0.3,0.01,GAMS
t83,11262.373943894634,0.3,0.01,GAMS
t84,11847.163218627942,0.3,0.01,GAMS
t85,11023.083358133583,0.3,0.01,GAMS
t86,10575.57929992144,0.3,0.01,GAMS
t87,10271.928385008787,0.3,0.01,GAMS
t88,10834.97786490057,0.3,0.01,GAMS
t89,10017.956920365956,0.3,0.01,GAMS
t90,9500.231455391855,0.3,0.01,GAMS
t91,9450.930525440286,0.3,0.01,GAMS
t92,9549.097763042631,0.3,0.01,GAMS
t93,9354.305934757433,0.3,0.01,GAMS
t94,9618.971775572312,0.3,0.01,GAMS
t95,10280.371845768308,0.3,0.01,GAMS
t96,10260.878056798983,0.3,0.01,GAMS
t97,9514.45702716966,0.3,0.01,GAMS
t98,9322.327123328761,0.3,0.01,GAMS
t99,9333.294597420843,0.3,0.01,GAMS
t100,9609.093621806805,0.3,0.01,GAMS
t101,9425.701818550364,0.3,0.01,GAMS
t102,9072.536688695682,0.3,0.01,GAMS
t103,9148.48980781059,0.3,0.01,GAMS
t104,9068.681872091514,0.3,0.01,GAMS
t105,9279.72299515102,0.3,0.01,GAMS
t106,10064.166260181808,0.3,0.01,GAMS
t107,10698.79470232124,0.3,0.01,GAMS
t108,10904.702807739142,0.3,0.01,GAMS
t109,11118.32456924861,0.3,0.01,GAMS
t110,10606.450753078767,0.3,0.01,GAMS
t111,11317.667072554957,0.3,0.01,GAMS
t112,10612.844190266998,0.3,0.01,GAMS
t113,10516.500613736856,0.3,0.01,GAMS
t114,9752.266605172219,0.3,0.01,GAMS
t115,11177.95414723495,0.3,0.01,GAMS
t116,11198.339017386817,0.3,0.01,GAMS
t117,11716.563232758723,0.3,0.01,GAMS
t118,11680.990003823275,0.3,0.01,GAMS
t119,12290.801641979637,0.3,0.01,GAMS
t120,11530.386770622164,0.3,0.01,GAMS
t121,12012.12426390719,0.3,0.01,GAMS
t122,12076.350731287243,0.3,0.01,GAMS
t123,11370.027419599044,0.3,0.01,GAMS
t124,11555.340233142017,0.3,0.01,GAMS
t125,11582.027557187428,0.3,0.01,GAMS
t126,11831.559886848763,0.3,0.01,GAMS
t127,11644.143790303227,0.3,0.01,GAMS
t128,11654.743180722491,0.3,0.01,GAMS
t129,12382.181875811739,0.3,0.01,GAMS
t130,12494.043239016266,0.3,0.01,GAMS
t131,12349.573681649608,0.3,0.01,GAMS
t132,12540.606024961813,0.3,0.01,GAMS
t133,12539.328789939715,0.3,0.01,GAMS
t134,12524.369754121413,0.3,0.01,GAMS
t135,12312.635878270099,0.3,0.01,GAMS
t136,12348.453504237465,0.3,0.01,GAMS
t137,11552.332286989686,0.3,0.01,GAMS
t138,11573.211983829498,0.3,0.01,GAMS
t139,11667.621520269935,0.3,0.01,GAMS
t140,11616.948983904862,0.3,0.01,GAMS
t141,11671.612534941713,0.3,0.01,GAMS
