t,ret_spx,ret_cmc,p_bear_spx,p_bull_spx,p_bear_cmc,p_bull_cmc,mu_est_spx_bear,var_est_spx_bear,mu_est_spx_bull,var_est_spx_bull,mu_est_cmc_bear,var_est_cmc_bear,mu_est_cmc_bull,var_est_cmc_bull,cov_est_bear,cov_est_bull,mu_mix_spx,mu_mix_cmc,var_mix_spx,var_mix_cmc,cov_mix,norm_mu_mix_spx,norm_mu_mix_cmc,norm_var_mix_spx,norm_var_mix_cmc,norm_cov_mix
1,0.0181015695550784,0.349276541,0.0982000000000008,0.901799999999933,0.3118,0.6882,0.0181015695550784,0.0,0.0181015695550784,0.0,0.349276541,0.0,0.349276541,0.0,0.0,0.0,0.0181015695550772,0.349276541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.0148640830663478,-0.095864271,0.914999999999932,0.0850000000000004,0.5972,0.4028,-0.011669030670548,9.511862757528402e-05,0.0152620068546107,8.5544921250487e-05,0.0568253936662266,0.0446542676176471,0.1849294107767186,0.046147635784833,0.0022408552416237,0.002343063360887,-0.0093798924809087,0.1084256917583327,9.430486253766984e-05,0.0452557963153895,0.0022657838019119,-0.7071067811865475,-0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
3,0.0192443955106487,-0.140068143,0.896599999999934,0.103400000000001,0.4676,0.5324,0.0028439957793738,0.0002884824120812,0.0156397164372876,7.879293651384377e-05,-0.0100549039838733,0.0381815432611768,0.0783452678478502,0.0542927551221761,0.0004980558871802,0.0011616089287252,0.0041670732954019,0.0370093474993362,0.0002668005203075,0.0467591524559728,0.0007089993990873,-0.0094007041279455,-0.7816771558361603,1.082305749801982,0.6054064561622415,-0.2438213109890561
4,-0.0336810196502686,0.150947101,0.0924000000000006,0.907599999999933,0.5188,0.4812,0.0011583942282305,0.0003338945392847,-0.0067666806360258,0.000646050693672,0.0340138098420386,0.0328837700272018,0.0949450977978713,0.0428087735282391,-0.0003715603489483,0.0011774051944095,-0.006034403718568,0.0633339456063853,0.0006172074650065,0.0376596817119009,0.0007040413243593,-0.6272890149377438,-0.533011738693908,1.3705936762255182,0.2384847603122262,-0.2253080881199408
5,0.0454198569160198,0.116485141,0.676199999999958,0.323799999999997,0.471,0.529,0.0123328271245429,0.0006193269298047,0.0005119206989815,0.0008828111735894,0.0504286158661257,0.027423004214023,0.099271754410085,0.0342844341770072,0.0009133528807511,0.0007689640642989,0.0085052176239455,0.0762666361558801,0.0007046431279421,0.0310527006644416,0.0008517854894158,0.4886235282757575,-0.3985115479517122,1.177088747281319,-0.0573874926623375,-0.0655039181344335
6,0.0122737632729262,0.221237077,0.350999999999994,0.648999999999961,0.3466,0.6534,0.0123259837192754,0.0005475692650005,0.0030815819897948,0.0007135603401912,0.0722502939453741,0.0271707130045613,0.1235163974828719,0.0298384715836652,0.0008751563079664,0.0006582144602475,0.0063263669968422,0.1057475659967751,0.0006552974727992,0.0289138264601477,0.0007338837767318,0.2702845579638651,-0.1545044240430115,0.861031219749427,-0.1576477809813626,-0.192591503456897
7,-0.0071721211872404,0.149792015,0.352599999999994,0.647399999999961,0.5872,0.4128,0.0102931535034156,0.0005259848167098,0.0012467982869721,0.0006013237195115,0.0860471846196594,0.0232157462522373,0.1264480626839829,0.0265777225858218,0.0005424434742796,0.0005819049818561,0.0044365431362899,0.1027246670846121,0.0005747592223835,0.0246035700827409,0.0005633620194458,0.076896583700959,-0.1695198302671362,0.5466915647014087,-0.3795106601983702,-0.3897846623138872
8,-0.0247646223291689,-0.219649001,0.230800000000005,0.769199999999948,0.5058,0.4942,0.0080535236700008,0.0005658833183081,-0.0033137379862626,0.0005937222337118,0.0454215591108775,0.0308991370198794,0.0856657143595613,0.035897387651916,0.0012269955776497,0.001870741254932,-0.0006901739959967,0.065310220634777,0.0005872970120365,0.0333692724822318,0.0016336497219888,-0.4484475210021091,-0.489526493962729,0.543894035545477,0.1647208330624164,1.0023699680881877
9,0.0080464768657027,0.067759252,0.328999999999996,0.670999999999959,0.718,0.282,0.0080529355126579,0.000518652206443,-0.0018067386256859,0.0005298102745071,0.0489667544014146,0.0260617856508321,0.0845375592243074,0.0336546845236561,0.0010892271223356,0.0016436546666631,0.0014370941658292,0.0589977213614703,0.0005261392701139,0.0282029831329684,0.0013534118472076,-0.1913575403838921,-0.5161495268762777,0.3037853313128285,-0.1775800929205103,0.5590054284268143
10,0.0260506701190817,0.146407424,0.168400000000003,0.831599999999941,0.4838,0.5162,0.0087903250576246,0.000510129979227,0.0021265394333565,0.0005491048986202,0.0583804282605535,0.0243726324844768,0.0909349840464725,0.0305296269539375,0.0011753108579731,0.0015536296170236,0.0032487209324831,0.0751850899572448,0.0005425415221943,0.0275508730296124,0.0014302598696971,0.0310525117588221,-0.3259601279575104,0.3477616844373649,-0.2141508007018736,0.6274493182535202
